Website,Health,Dental Count,Optical,Medic,Treatment,Diagnosis,Physician,Quality
http://www.101construction.com,0,0,0,0,0,0,0,0
http://www.2thetopdesign.com,0,0,0,0,0,0,0,0
http://www.3gsshredding.com,0,0,0,0,0,0,0,0
http://www.mmm.com,0,0,0,0,0,0,0,0
http://www.5pdi.com,0,0,0,0,0,0,0,0
http://www.mccompliance.com,NA,NA,NA,NA,NA,NA,NA,NA
http://www.828marketing.com,3,0,0,0,0,0,0,0
http://www.apluscolumbia.com,0,0,0,0,0,0,0,0
http://www.apluscolumbia.com,0,0,0,0,0,0,0,0
http://www.adifferentviewonline.com,0,0,0,0,0,0,0,0
http://www.a3marketing.com,0,0,0,0,0,0,0,0
http://www.aboverubies.org,3,0,0,0,0,0,0,0
http://www.abriohealthcare.com,86,0,0,0,0,0,0,0
http://www.absfinancialservice.com,0,0,0,0,0,0,0,0
http://www.arxllc.com,4,0,0,0,0,0,0,0
http://www.accessretirement.com,0,0,0,0,0,0,0,0
http://www.accountnet.biz,0,0,0,0,0,0,0,0
http://www.accounts-receivable.com,0,0,0,1,0,0,0,0
http://www.accuimagellc.com,1,0,0,1,0,0,0,0
http://www.accuratehealthcare.com,77,0,0,21,1,0,0,0
http://www.acs-inc.com,32,0,0,0,0,0,0,0
http://www.investors.activenetwork.com,0,0,0,0,0,0,0,0
http://www.acuweb.com,0,0,0,0,0,0,0,0
http://www.advanceautosalvage.com,0,0,0,0,0,0,0,0
http://www.advancedbehaviorconsultants.com,0,0,0,0,0,1,0,0
http://www.advancedbillinginc.com,2,0,0,18,0,0,0,0
http://www.acepronet.com,0,0,0,0,0,0,0,0
http://www.adveng.com,0,0,0,0,0,0,0,0
http://www.precisionlubrication.com,0,0,0,0,0,0,0,0
http://www.besafe247.com,0,0,0,3,0,0,0,0
http://www.tn-lebanon.doctors.at,51,0,0,82,5,2,5,0
http://www.advantagecpas.com,0,0,0,0,0,0,0,0
http://www.adventureworks.com,0,0,0,0,0,0,0,0
